Word,definition,mean_valence,mean_arousal,mean_conc,mean_humor
neh neh,(noun) A colloquial term for a woman's chest or breasts. Origin: Hokkien.,4.72093023255814,5.82051282051282,3.37704918032787,3.57627118644068
neh neh pok,(noun) A colloquial term for nipples. Origin: Hokkien.,4.25842696629214,6.075,3.85245901639344,3.73333333333333
ngeow,(adjective) 1. Used to describe someone who is overly meticulous or tries to find fault in everything. 2. Can also refer to someone stingy. Origin: Hokkien.,3.54411764705882,5.8,2.64285714285714,3.24324324324324
nia,"(particle) Used to depict the meaning of ""only"". May also be used to downplay intensity. Origin: Teochew.",5.23529411764706,5.17910447761194,1.56,2.75
nia gong,(noun) Meaning your grandfather. Origin: Teochew.,4.47222222222222,5.625,2.11111111111111,3.10526315789474
nia gong de ji dan,"(noun) Direct translation of ""your grandfather's egg"", used in a confrontational or insulting manner. Origin: Hokkien.",3.96875,6.38461538461539,2.26315789473684,3.5
no eye see,(phrase) Means cannot bear to look at or do not want to know. Origin: English; Cantonese.,4.375,5.51515151515152,2.80392156862745,3.30188679245283
no horse run,(adjective) Used to describe something that is far superior to others. Origin: Hokkien.,4.87878787878788,5.36666666666667,2.36363636363636,3.18518518518519
nua,(verb) Lazing around or resting. Origin: Hokkien.,6.75308641975309,4.43421052631579,3.10344827586207,3.19298245614035
obiang,(adjective) Describes someone or something that is desperately out of fashion. Origin: English; Hokkien.,4,5.44186046511628,2.57575757575758,3.1875
orbi,(phrase) Used to mean 'serves you right'. ,4.15384615384615,5.40476190476191,2.09090909090909,3
orh,"(interjection/particle) Used to express understanding, acknowledgment, or agreement, similar to ""yes"" or ""okay""; used to confirm the speaker's comprehension of something; can express confusion or doubt; can be used in a sarcastic tone or as a disinterested acknowledgment of what someone has just said. Origin: Chinese.",5.31034482758621,4.1358024691358,1.6984126984127,2.83870967741935
orh hor,(interjection) Used when someone has done something wrong and will now face trouble or consequences. Origin : Hokkien,4.59550561797753,6.34567901234568,1.84126984126984,3.70967741935484
oso,"(adverb) Short for ""also."" Used to emphasize an object. Origin: English.",5.62352941176471,4.175,2.13793103448276,2.67213114754098
ownself,(pronoun) Refers to oneself; myself. Origin: English.,5.42222222222222,4.05,3.09677419354839,2.62903225806452
pai kia,(noun) Meaning a 'hooligan' or 'gangster'. Origin: Teochew.,3.64772727272727,6.06172839506173,3.53968253968254,3.31147540983607
pai tao,(verb) 1. To be arrogant 2. To stand someone up. Origin: Hokkien.,3.41666666666667,5.88235294117647,2.61111111111111,2.8974358974359
paiseh,(adjective/ interjection) 1. Sorry. 2. Means to be embarrassed. Typically used as an apology after making an embarrassing mistake. Origin: Hokkien.,4.86666666666667,5.09756097560976,2.53968253968254,2.83870967741935
pak chiu cheng,(verb) To masturbate. Origin: Hokkien.,5,5.54838709677419,3.29411764705882,3.88888888888889
pak tor,(verb) To go on a date or be in a romantic relationship. Origin: Cantonese.,6.30379746835443,5.84285714285714,3.8,3.0655737704918
pak zam,(verb) To get or receive an injection. Origin: Min Nan.,4.6,5.32258064516129,3.68181818181818,2.8
pang chance,(verb) To give someone an opportunity or leeway. Origin: Hokkien; English.,5.10909090909091,5.54545454545455,2.53125,3.16666666666667
pang jio,(verb/noun) 1. To urinate. 2. urine; pee Origin: Hokkien.,4.77358490566038,5.44897959183673,3.23076923076923,2.75675675675676
pang sai,(verb/noun) 1. To defecate. 2. Faeces; poop Origin: Hokkien.,4.70786516853933,5.65853658536585,4.09523809523809,3.56451612903226
pang seh,(verb) To stand someone up; to miss an agreed appointment. Origin: Hokkien.,3.79487179487179,6.03076923076923,2.97916666666667,3.14035087719298
pariah,(noun) 1. Something unsightly or disgusting. 2. Something of low status or quality. 3. An outcast. Origin: Tamil.,3.71428571428571,5.75,2.83333333333333,2.58333333333333
pasar malam,(noun) Night market. Origin: Malay.,7.54444444444444,5.40243902439024,4.3968253968254,2.08064516129032
photostat,(noun) Photocopy. Origin: English.,5.02325581395349,4.13636363636364,3.67567567567568,2.76923076923077
pia,(verb) 1. To put all one's effort into something. 2. To fight; to quarrel. Origin: Hokkien,5.05555555555556,5.02702702702703,3.04545454545455,2.84615384615385
piak piak,(verb/interjection/noun) 1. To have sexual intercourse. 2. The sound of a slap or hit. 3. Sexual intercourse. Origin: Hokkien.,4.96428571428571,6.33333333333333,3.66666666666667,3.83606557377049
pok kai,"(adjective/interjection) 1. Broke. 2. Used to curse people, similar to ""Go to hell"". Origin: Cantonese.",3.56,6.1875,2.97142857142857,3.64102564102564
pon,(verb) To play truant. Origin: Malay.,5.875,5.75324675324675,3.03225806451613,3.14516129032258
puki,(noun) 1. Vulgar term for female genitalia. 2. Cunt; bitch; fucker. Origin: Malay.,4.63636363636364,6.2,2.95652173913043,3.46153846153846
rabak,(adjective) A term describing a situation out of hand; state of havoc; terrible. Origin: Malay.,4.67415730337079,6.0125,2.49180327868852,3.49180327868852
sabo,(verb) To sabotage; To purposely hinder or prevent someone or something's success. Origin: English.,3.28089887640449,6.12345679012346,3.14285714285714,3.09836065573771
sakar,(verb) To flatter or suck up to someone. Origin: Malay.,4.04761904761905,5.5,2.45454545454545,2.90909090909091
sam seng,(noun/adjective) A gangster or hooligan. Origin: Hokkien.,3.86666666666667,5.53333333333333,2.66666666666667,3.25925925925926
saman,(noun) A fine or monetary penalty. Origin: Malay.,2.7972972972973,6.390625,4,2.59615384615385
sampat,"(noun/adjective) 1. A woman who behaves irrationally, is slightly crazy, and has traits such as being unreasonable or frivolous. 2. Behaving irrationally and crazily. Origin: Hokkien.",4.63636363636364,4.81395348837209,2.80769230769231,2.83870967741935
see first,(verb/interjection) 1.To investigate the prospects of something; test the waters. 2. Used to express that the prospects of something can only be known after more investigation. Origin: English.,5.33707865168539,4.76829268292683,2.6984126984127,2.54838709677419
see me no up,(expression) To look down on the speaker; to express disdain or derision toward them. Origin: Mandarin.,3.74576271186441,5.70588235294118,2.28571428571429,3.37142857142857
see you very up,"(expression) Used to indicate that someone deserves or is worthy of something, often as a compliment or affirmation. ",5.9,5.88059701492537,2.26923076923077,3.3265306122449
sei,(verb) To be steady or calm. Origin: Hokkien.,5.73529411764706,5.32258064516129,1.80851063829787,3
sekali,(adverb) 1. Suddenly; unexpectedly. 2. Lest; what if. Origin: Malay.,5.74418604651163,5.0253164556962,1.66666666666667,3.29508196721311
shame shame,(verb) To describe something very disgraceful or embarrassing. Origin: English.,3.85714285714286,5.725,2.70491803278689,3.3448275862069
shiok,"(adjective/interjection) Used to express sheer delight, enjoyment, or satisfaction with an experience, especially in the context of eating food. Origin: Malay.",7.87777777777778,6,2.93650793650794,3.03225806451613
showflat,"(noun) An event held by an estate agency that spans several weeks to promote a housing project, usually condominiums. Origin: English.",5.375,4.53333333333333,3.77777777777778,2.12121212121212
si mi lan jiao,"(interjection) 1. ""Huh?""; ""What?""; an expression of surprise, incredulity, or confusion. 2. ""What the hell is it?""; used rudely to ask someone to get to the point or speak their mind. Origin: Hokkien.",3.88636363636364,6.84615384615385,1.87096774193548,3.7258064516129
si mi tai dzi,"(interjection) Similar to ""What's up?"" or ""What again?"" Used to curtly ask someone to get to the point or speak their mind. Origin: Hokkien.",4.51724137931035,6.30864197530864,2.07936507936508,3.67213114754098
sia,(particle) Used at the end of a clause as an intensifier; adds a degree of coarseness. Origin: Malay.,5.9,4.75609756097561,1.59677419354839,2.70967741935484
siam,"(verb/interjection) 1. To get out of the way. 2. Similar to ""move aside."" Origin: Hokkien; Cantonese.",4.50574712643678,5.89024390243902,3.5,3.03225806451613
sian,"(adjective/interjection) 1. Bored, tired, or sick of something. 2. An expression of frustration or boredom. Origin: Hokkien.",4.32222222222222,4.75609756097561,2.73015873015873,2.85483870967742
siao,(interjection/ adjective) 1. Crazy 2. Used to refer to somebody who is a fanatic. Origin: Hokkien.,4.81111111111111,6.41463414634146,2.95161290322581,3.45161290322581
sibei,"(adverb) Similar to ""very"". Used as an intensifier. Origin: Teochew.",5.37078651685393,6.16049382716049,1.95238095238095,3.24193548387097
simi,"(determiner/ interjection) 1. What; which. 2. Similar to ""I beg your pardon."" Origin: Hokkien.",5.06666666666667,5.81707317073171,2,3.16129032258065
sod,"(adjective/interjection/verb) 1. Describes a machine, person, or object that has gone haywire or is malfunctioning; having a screw loose. 2. To go crazy. 3. An expression indicating that someone is crazy. Origin: Cantonese.",4.05769230769231,6,2.74285714285714,3.85714285714286
song,"(adjective) To express pleasure or excitement, often used when something feels good or enjoyable. Origin: Hokkien.",6.33333333333333,4.54237288135593,2.96969696969697,2.75862068965517
sor zai,(noun) A silly or foolish person. Origin: Cantonese.,4.23529411764706,5.70967741935484,2.84615384615385,3.08695652173913
sotong,(noun) 1. A forgetful or clueless person. 2. A squid or cuttlefish. Origin: Malay.,4.52808988764045,4.79268292682927,3.22222222222222,3.59016393442623
steady pom pi pi,"(adjective/interjection) 1. Describes someone who remains calm and composed under pressure or during a crisis; steady. 2. Used to express approval or agreement, similar to ""alright"" or ""nice.""",6.14285714285714,5.45454545454545,2.20967741935484,3.6
suay,(adjective/ interjection) 1. Unlucky. 2. Expression of despair or disappointment at an unfortunate situation or a stroke of bad luck. Origin: Hokkien; Teochew.,3.74157303370787,5.7037037037037,2.58333333333333,3.01612903225806
sui,(adjective) 1. Perfect; just right. 2. Excellent; nice. 3. Pretty; beautiful. Origin: Hokkien.,5.26760563380282,5.94444444444444,2.46153846153846,3.02
suka,(verb) 1. To like or enjoy something. 2. To feel like doing something. Origin: Malay.,5.76744186046512,5.17105263157895,2.33333333333333,3.21052631578947
swaku,(adjective/noun) Not well-informed or backward; a country bumpkin. Origin: Hokkien.,4.27692307692308,5.63333333333333,2.95652173913043,3.36
swee,(adjective/interjection) 1. Beautiful; good looking 2. Excellent; nice 3. Neat; tidy. Origin: Hokkien.,7.27586206896552,6.06329113924051,2.1864406779661,3.14516129032258
tahan,(verb) To handle or tolerate. Origin: Malay.,4.94444444444444,4.81707317073171,2.77777777777778,2.7258064516129
tak boleh,(verb) Cannot; To be unable to. Origin: Malay.,4.70731707317073,5.05194805194805,2.57894736842105,2.98275862068966
tak boleh tahan,(verb) Cannot endure; used when someone cannot withstand someone or something. Origin: Malay.,4.44705882352941,5.73076923076923,2.76666666666667,3.33898305084746
talk cock,(verb) To talk nonsense or engage in idle banter. Origin: English; Hokkien.,5.32222222222222,5.92682926829268,3.07936507936508,3.67741935483871
tan ku ku,"(verb/expression) 1. To wait for something that will never happen. 2. To express that something has a very low chance of happening, making it a futile endeavor. Origin: Hokkien.",4.78723404255319,5.66666666666667,2.4,3.66666666666667
tau pok,"(noun/verb) 1. A term used to describe a situation where people throw themselves into a pile, usually for fun or as a form of bullying. 2. A deep-fried puffed tofu with a spongy texture. Origin: Cantonese.",5.76623376623377,4.90540540540541,4.14035087719298,2.55172413793103
teh,(noun) Tea. Commonly used in Singapore's coffee shops to refer to different styles of tea preparation. Origin: Hokkien.,7.26136363636364,4.36708860759494,4.24137931034483,2.08620689655172
tekan,"(verb/noun) To bully, punish, or put someone under pressure. Origin: Malay.",3.4,6.26388888888889,2.98245614035088,2.9344262295082
tembalik,(noun) Upside-down or inverted. Origin: Malay.,5.15942028985507,5.25925925925926,3.34042553191489,3.18181818181818
tio,(interjection/adjective) Correct; right; true. Origin: Hokkien.,4.95652173913043,5.53225806451613,2.39622641509434,2.77358490566038
toot,"(noun) A stupid, awkward, uncool or silly person.",4.8030303030303,5.66666666666667,2.3125,3.58823529411765
towkay,(noun) Head of the house or company; also used to refer to a boss. Origin: Hokkien.,5.25675675675676,4.90625,3.43636363636364,2.56896551724138
tua kee,(noun/adjective) 1. Used to describe important or significant people. 2. Long; large. 3. Having a big penis. 4. Someone who presents themselves as very important. Origin: Hokkien.,4.75,5.07692307692308,2.83333333333333,2.75
tuang,"(verb) To hang out and not do anything, often used to describe skipping classes or avoiding responsibilities. Origin: Malay.",4.72727272727273,4.94444444444444,2.66666666666667,2.58823529411765
tyco,(adjective) Extremely lucky. Origin: Min Nan.,5.70833333333333,5.40540540540541,2.52777777777778,2.72727272727273
ulu,(adjective) Used to describe a rural or remote area or someone who is considered a country bumpkin. Origin: Malay.,4.07954545454545,5.14814814814815,3.24193548387097,2.66129032258065
un,(verb) Abbreviation for 'understand'. Origin: English; Cantonese.,4.92307692307692,4.46428571428571,1.69230769230769,2.55
up lorry,(verb) Used to describe a person who has passed away or an item that is spoiled and no longer usable; to die. Origin: Hokkien; English.,4.92307692307692,4.64,2.70588235294118,2.45454545454545
very the,"(phrase) Very; quite, often used with a sarcastic tone. Origin: English.",5.28235294117647,5.30263157894737,1.88709677419355,3.21311475409836
vomit blood,(verb/adjective/interjection) To experience extreme difficulty or irritation; to be overwhelmed by a situation; to express intense frustration. Origin: English; Hokkien; Cantonese.,4,6.28048780487805,2.95238095238095,3.35483870967742
wa kao,"(interjection) An expression of shock or disbelief; similar to ""holy crap."" Origin: Mandarin.",4.64864864864865,6.80597014925373,1.98076923076923,3.48148148148148
wa(h) lan,"(interjection) A vulgar expression of frustration, shock, or anger. Origin: Hokkien.",4.32926829268293,6.23684210526316,1.85964912280702,3.29310344827586
wah lao (wa lau),"(interjection) An expression of shock, disbelief, or distress, similar to ""Oh my God."" Origin: Hokkien.",5.33333333333333,6.32926829268293,1.79365079365079,3.38709677419355
wah seh,"(interjection) An expression of shock, surprise, admiration, or amazement, similar to ""wow."" Origin: Mandarin.",6,6.04938271604938,1.93650793650794,3.2741935483871
wayang,"(noun/adjective) Acting or putting on a display, often in an insincere or performative manner; pretending to be busy with work when they are not. Origin: Malay.",3.7625,6.06944444444444,2.76271186440678,3.1551724137931
white horse,"(noun) The son of a government official, soldier, or influential person, often referring to someone with privilege or special treatment. Origin: English.",4.81034482758621,5.18181818181818,3.34883720930233,2.66666666666667
xia lan,(adjective) Arrogant; egoistic; pretentious. Origin: Hokkien.,3.825,5.94594594594595,2.34615384615385,2.70833333333333
xia suay,(adjective/verb) Disgrace; embarrassment or to embarrass. Origin: Hokkien.,3.57692307692308,6.26086956521739,2.6,3.29824561403509
yandao,(noun/ adjective) A handsome male. Origin: Hokkien.,6.46551724137931,6.0625,3.47368421052632,3.31707317073171
yaya papaya,"(noun/adjective) Used to describe someone who's proud, arrogant, or someone who shows off. Origin: English.",3.88636363636364,5.7037037037037,2.38095238095238,3.5
your head,"(interjection) Meaning ""my ass""; ""my foot""; expression of disbelief, disagreement, doubt, etc., used to retort to something one thinks is highly unlikely or untrue. Origin: English; Cantonese; Malay.",4.71111111111111,6.15853658536585,2.20634920634921,3.95161290322581
zai,(adjective) Extremely skilled; of exceptional ability. Origin: Hokkien.,6.95121951219512,5.72972972972973,2.58064516129032,3.05
zao hor,(adjective) Impressive. Origin: Hokkien.,5.08333333333333,5.325,2.7,2.82758620689655
zao kng,(verb/noun) To have a wardrobe malfunction; an accidental exposure. Origin: Hokkien.,4.30952380952381,5.53488372093023,2.82352941176471,3.125
zha bor,(noun) Girl; woman. Origin: Min Nan.,4.83908045977012,5.79012345679012,4.03225806451613,2.80645161290323
zhun,"(adjective) Accurate, spot on. Origin: Hokkien; Mandarin.",6.3125,5.0958904109589,2.53703703703704,2.69090909090909
zi siao,"(verb) To disturb, ridicule, or tease. Origin: Hokkien.",4.375,5.66666666666667,2.4,3.18181818181818
